,date,t1-top,t2-top,t1-5m,t2-5m,t1-160,t2-160,t1-80,t2-80,t1-40,t2-40
SW27,5/25/26,11:23,11:26,11:47,11:50,15:25,15:27,15:34,15:36,15:40,15:42
N62,5/25/26,12:21,12:24,12:40,12:44,15:59,16:01,16:08,16:10,16:16,16:18
E20,5/23/26,21:08,21:10,21:37,21:42,21:55,21:57,22:01,22:03,22:08,22:10
NE14,5/23/26,19:00,19:07,20:02,20:12,20:32,30:34:00,18:01,18:03,20:43,20:45
W10,5/24/26,13:35,13:41,14:02,14:04,14:22,14:24,14:29,14:31,13:47,13:49
S14b,5/24/26,15:42,15:46,16:05,16:09,16:34,16:26,16:33,16:35,16:39,16:42
SW46a,5/24/26,18:51,18:54,19:15,19:17,19:33,19:35,19:40,19:42,19:48,19:50
SE58,5/24/26,20:30,20:34,20:54,21:00,21:14,21:16,21:22,21:24,21:30,21:32
