"UniqueID","start.time","Vtot","Area","Tcham","Pcham"
"E1_50cm",2026-05-27 15:12:00,1.26350382616539,600,28,101.3
"E1_80cm",2026-05-27 15:17:00,1.26350382616539,600,28,101.3
"E13_50cm",2026-05-27 15:24:00,1.26350382616539,600,28,101.3
"E13_80cm",2026-05-27 15:28:00,1.26350382616539,600,28,101.3
"E20_50cm",2026-05-27 15:36:00,1.26350382616539,600,28,101.3
"E20_80cm",2026-05-27 15:46:00,1.26350382616539,600,28,101.3
"E33_40cm",2026-05-27 15:57:00,1.26350382616539,600,28,101.3
"E33_80cm",2026-05-27 16:01:00,1.26350382616539,600,28,101.3
"E65_40cm",2026-05-27 17:05:00,1.26350382616539,600,28,101.3
"N26_45cm",2026-05-27 13:57:00,1.26350382616539,600,28,101.3
"N26_80cm",2026-05-27 14:02:00,1.26350382616539,600,28,101.3
"N29_45cm",2026-05-27 14:10:00,1.26350382616539,600,28,101.3
"N29_80cm",2026-05-27 14:14:00,1.26350382616539,600,28,101.3
"N41_45cm",2026-05-27 14:23:00,1.26350382616539,600,28,101.3
"N41_90cm",2026-05-27 14:29:00,1.26350382616539,600,28,101.3
"N7a_45cm",2026-05-27 13:26:00,1.26350382616539,600,28,101.3
"N7a_80cm",2026-05-27 13:32:00,1.26350382616539,600,28,101.3
"N7b_45cm",2026-05-27 13:41:00,1.26350382616539,600,28,101.3
"N7b_80cm",2026-05-27 13:46:00,1.26350382616539,600,28,101.3
"N88_45cm",2026-05-27 14:47:00,1.26350382616539,600,28,101.3
"N88_90cm",2026-05-27 14:56:00,1.26350382616539,600,28,101.3
"NE10_40cm",2026-05-25 18:37:00,1.26350382616539,600,28,101.3
"NE10_80cm",2026-05-25 18:42:00,1.26350382616539,600,28,101.3
"NE12_40cm",2026-05-25 18:21:00,1.26350382616539,600,28,101.3
"NE12_80cm",2026-05-25 18:26:00,1.26350382616539,600,28,101.3
"NE12_160cm",2026-05-25 18:29:00,1.26350382616539,600,28,101.3
"NE14_40cm",2026-05-25 19:23:00,1.26350382616539,600,28,101.3
"NE14_80cm",2026-05-25 19:32:00,1.26350382616539,600,28,101.3
"NE14_160cm",2026-05-25 19:37:00,1.26350382616539,600,28,101.3
"NE31_30cm",2026-05-25 19:54:00,1.26350382616539,600,28,101.3
"NE31_80cm",2026-05-25 20:00:00,1.26350382616539,600,28,101.3
"NE59_40cm",2026-05-25 20:15:00,1.26350382616539,600,28,101.3
"NE59_80cm",2026-05-25 20:21:00,1.26350382616539,600,28,101.3
"NE59_160cm",2026-05-25 20:25:00,1.26350382616539,600,28,101.3
"NE6_40cm",2026-05-25 18:52:00,1.26350382616539,600,28,101.3
"NE6_80cm",2026-05-25 18:58:00,1.26350382616539,600,28,101.3
"NE6_160cm",2026-05-25 19:04:00,1.26350382616539,600,28,101.3
"NE8_50cm",2026-05-25 19:12:00,1.26350382616539,600,28,101.3
"NW16_40cm",2026-05-26 14:05:00,1.26350382616539,600,28,101.3
"NW16_80cm",2026-05-26 14:14:00,1.26350382616539,600,28,101.3
"NW16_160cm",2026-05-26 14:26:00,1.26350382616539,600,28,101.3
"NW22_40cm",2026-05-26 14:35:00,1.26350382616539,600,28,101.3
"NW22_80cm",2026-05-26 14:39:00,1.26350382616539,600,28,101.3
"NW22_160cm",2026-05-26 14:43:00,1.26350382616539,600,28,101.3
"NW26_50cm",2026-05-26 14:56:00,1.26350382616539,600,28,101.3
"NW33a_40cm",2026-05-26 15:05:00,1.26350382616539,600,28,101.3
"NW33a_80cm",2026-05-26 15:09:00,1.26350382616539,600,28,101.3
"NW39_40cm",2026-05-26 15:16:00,1.26350382616539,600,28,101.3
"NW39_80cm",2026-05-26 15:24:00,1.26350382616539,600,28,101.3
"NW39_160cm",2026-05-26 15:29:00,1.26350382616539,600,28,101.3
"NW46B_40cm",2026-05-26 16:12:00,1.26350382616539,600,28,101.3
"NW46B_120cm",2026-05-26 16:20:00,1.26350382616539,600,28,101.3
"NW46a_40cm",2026-05-26 15:42:00,1.26350382616539,600,28,101.3
"NW46a_80cm",2026-05-26 15:52:00,1.26350382616539,600,28,101.3
"NW46a_160cm",2026-05-26 16:00:00,1.26350382616539,600,28,101.3
"NW48_40cm",2026-05-26 16:29:00,1.26350382616539,600,28,101.3
"NW48_80cm",2026-05-26 16:36:00,1.26350382616539,600,28,101.3
"NW48_160cm",2026-05-26 16:41:00,1.26350382616539,600,28,101.3
"NW78_40cm",2026-05-26 16:50:00,1.26350382616539,600,28,101.3
"NW78_80cm",2026-05-26 16:54:00,1.26350382616539,600,28,101.3
"NW78_160cm",2026-05-26 16:57:00,1.26350382616539,600,28,101.3
"NW9_40cm",2026-05-26 13:44:00,1.26350382616539,600,28,101.3
"NW9_80cm",2026-05-26 13:52:00,1.26350382616539,600,28,101.3
"NW9_120cm",2026-05-26 13:56:00,1.26350382616539,600,28,101.3
"S10_40cm",2026-05-25 17:12:00,1.26350382616539,600,28,101.3
"S10_80cm",2026-05-25 17:20:00,1.26350382616539,600,28,101.3
"S10_160cm",2026-05-25 17:29:00,1.26350382616539,600,28,101.3
"S14a_40cm",2026-05-25 20:42:00,1.26350382616539,600,28,101.3
"S14a_80cm",2026-05-25 20:50:00,1.26350382616539,600,28,101.3
"S14b_40cm",2026-05-26 17:38:00,1.26350382616539,600,28,101.3
"S14b_80cm",2026-05-26 17:46:00,1.26350382616539,600,28,101.3
"S14b_160cm",2026-05-26 17:55:00,1.26350382616539,600,28,101.3
