"UniqueID","TreeID","species","meas_date","time_str","height_cm","start.time","CO2_best.flux","CO2_model","CO2_quality.check","CO2_LM.flux","CO2_LM.r2","CO2_LM.p.val","CO2_LM.RMSE","CO2_HM.flux","CO2_HM.r2","CO2_HM.RMSE","CO2_LM.diagnose","CO2_HM.diagnose","CO2_nb.obs","CO2_flux.term","CO2_MDF","CO2_g.fact","CH4_best.flux","CH4_model","CH4_quality.check","CH4_LM.flux","CH4_LM.r2","CH4_LM.p.val","CH4_LM.RMSE","CH4_HM.flux","CH4_HM.r2","CH4_HM.RMSE","CH4_LM.diagnose","CH4_HM.diagnose","CH4_nb.obs","CH4_flux.term","CH4_MDF","CH4_g.fact","Area_cm2","Vtot_L","Tcham_C","Pcham_kPa"
"E1_50cm","E1","Mata Folha Miuda",2026-05-27,"15:12",50,2026-05-27 15:12:00,0.820678839997296,"HM","AICc",0.816490946606232,0.995258762960873,1.67943192408458e-212,3.60450958409966,0.820678839997296,0.99505384423187,3.68221958354695,"","",183,0.823635221613794,0.0157525862057283,1.00512913634679,29.6912177697398,"LM","MAE | AICc",29.6912177697398,0.991099406437976,9.55603185323769e-188,179.966155094034,29.7923590508791,0.990882445445392,182.174183108183,"Noise (LM.MAE)","Noise (HM.MAE)",183,0.823635221613794,0.00270044334955342,1.00340643761814,600,1.26350382616539,28,101.3
"E1_80cm","E1","Mata Folha Miuda",2026-05-27,"15:17",80,2026-05-27 15:17:00,0.746156422297602,"HM","AICc",0.733885081874818,0.999498440981638,1.03035092724179e-201,0.706153592916367,0.746156422297602,0.999495472449614,0.708329123630092,"","",123,0.823210420709578,0.0234246867681587,1.01672106536276,3.39730694984912,"LM","MAE | AICc",3.39730694984912,0.99863729304721,1.88379516300794e-175,5.39053350662376,3.43661373269841,0.998556740412205,5.54866146430233,"Noise (LM.MAE)","Noise (HM.MAE)",123,0.823210420709578,0.00401566058882721,1.01156998276268,600,1.26350382616539,28,101.3
"E13_50cm","E13","Mata Mata Folha Miuda",2026-05-27,"15:24",50,2026-05-27 15:24:00,1.42817952538522,"HM","",1.39313340874121,0.999405769310505,4.20163306577108e-202,1.49404059960859,1.42817952538522,0.999446941258943,1.44135344653628,"","",126,0.823678950742756,0.0228799708539654,1.025156324889,49.903623935585,"HM","MAE",48.7374978365234,0.999350197562107,1.07314389523139e-199,54.6585402083487,49.903623935585,0.99937672558602,53.5313375462923,"Noise (LM.MAE)","Noise (HM.MAE)",126,0.823678950742756,0.00392228071782265,1.02392667147117,600,1.26350382616539,28,101.3
"E13_80cm","E13","Mata Mata Folha Miuda",2026-05-27,"15:28",80,2026-05-27 15:28:00,1.75173998790277,"HM","",1.54728985695254,0.998752315096036,2.13071775500142e-189,2.50212331782504,1.75173998790277,0.999833152511594,0.914989450247818,"","",131,0.823333222668557,0.0219974525140454,1.13213434446788,9.86027479356129,"HM","",9.41613221179438,0.999768590815645,1.35547313482125e-236,6.55432949571314,9.86027479356129,0.999915382869422,3.96339284875451,"Noise (LM.MAE)","Noise (HM.MAE)",131,0.823333222668557,0.00377099185955064,1.04716826099899,600,1.26350382616539,28,101.3
"E20_50cm","E20","Macucú",2026-05-27,"15:36",50,2026-05-27 15:36:00,1.44248784660818,"LM","MAE | AICc",1.44248784660818,0.993946993357467,2.70340530616395e-257,9.13877862171434,1.45447243143555,0.993773747817265,9.26876507497294,"Noise (LM.MAE)","Noise (HM.MAE)",232,0.82313960806281,0.012418054431982,1.00830827438549,60.9268834368529,"LM","MAE | AICc",60.9268834368529,0.989983163038876,3.89139080971e-232,497.540692524282,61.374535646471,0.989831359801119,501.325761529903,"Noise (LM.MAE)","Noise (HM.MAE)",232,0.82313960806281,0.00212880933119692,1.00734736760468,600,1.26350382616539,28,101.3
"E20_80cm","E20","Macucú",2026-05-27,"15:46",80,2026-05-27 15:46:00,1.46484028247822,"HM","",1.42637679433992,0.999872463180225,0,1.80497873495166,1.46484028247822,0.999920179664588,1.42794365899627,"","",320,0.823157669705379,0.00900328701240258,1.02696586784847,32.9088030627027,"HM","",32.0394921452727,0.999891762036234,0,37.3500584277186,32.9088030627027,0.999940024659582,27.8027554453644,"Noise (LM.MAE)","Noise (HM.MAE)",320,0.823157669705379,0.00154342063069759,1.02713248117318,600,1.26350382616539,28,101.3
"E33_40cm","E33","Acapurana",2026-05-27,"15:57",40,2026-05-27 15:57:00,1.77522818257971,"HM","",1.71585875719228,0.997901015811564,1.57143648280913e-181,3.73581683647716,1.77522818257971,0.997984249770022,3.66099681043213,"","",136,0.823901869189935,0.0212033569276821,1.03460041517903,57.7712659185013,"HM","MAE",55.5195163684793,0.998172475933896,1.46707695745723e-185,112.776356144577,57.7712659185013,0.99828613185253,109.213219420097,"Noise (LM.MAE)","Noise (HM.MAE)",136,0.823901869189935,0.00363486118760265,1.04055780196422,600,1.26350382616539,28,101.3
"E33_80cm","E33","Acapurana",2026-05-27,"16:01",80,2026-05-27 16:01:00,1.62686500820945,"HM","",1.54378303628267,0.999706769246147,7.11817221430592e-246,1.29255052286158,1.62686500820945,0.999896695139199,0.767190378584045,"","",140,0.823692662050546,0.0205923165512637,1.05381712972234,14.1680150635097,"HM","",12.4415098881912,0.998776595655823,4.54402698839644e-203,21.2870404610194,14.1680150635097,0.999947394578162,4.41413417616545,"Noise (LM.MAE)","Noise (HM.MAE)",140,0.823692662050546,0.00353011140878806,1.13876974666533,600,1.26350382616539,28,101.3
"E65_40cm","E65","Piranheira (struck through)",2026-05-27,"17:05",40,2026-05-27 17:05:00,1.86997578099509,"HM","",1.75243913578629,0.998747750683228,6.86277792170108e-140,2.10064166406667,1.86997578099509,0.9990474181092,1.83213610754801,"","",97,0.822791590652624,0.0296883563637545,1.06707031520159,444.750631881218,"LM","MAE | AICc",444.750631881218,0.99925343877089,1.46787232175641e-150,411.53250834075,451.444758658486,0.999233502770593,417.055239919306,"Noise (LM.MAE)","Noise (HM.MAE)",97,0.822791590652624,0.00508943251950077,1.01505141600126,600,1.26350382616539,28,101.3
"N26_45cm","N26","Piranhieira",2026-05-27,"13:57",45,2026-05-27 13:57:00,1.47425205424477,"HM","",1.36767216109431,0.999266319629799,5.59903160163126e-209,1.73396977207504,1.47425205424477,0.999658675111956,1.18269306622421,"","",134,0.823598103187446,0.021511890754896,1.07792795392222,91.5028296054559,"HM","",84.8127230882409,0.99829966970025,6.91927213765039e-185,163.772997886226,91.5028296054559,0.998710927089963,142.598314692852,"Noise (LM.MAE)","Noise (HM.MAE)",134,0.823598103187446,0.00368775270083931,1.07888093052094,600,1.26350382616539,28,101.3
