"UniqueID","TreeID","species","meas_date","time_str","height_cm","start.time"
"E1_50cm","E1","Mata Folha Miuda",2026-05-27,"15:12",50,2026-05-27 15:12:00
"E1_80cm","E1","Mata Folha Miuda",2026-05-27,"15:17",80,2026-05-27 15:17:00
"E13_50cm","E13","Mata Mata Folha Miuda",2026-05-27,"15:24",50,2026-05-27 15:24:00
"E13_80cm","E13","Mata Mata Folha Miuda",2026-05-27,"15:28",80,2026-05-27 15:28:00
"E20_50cm","E20","Macucú",2026-05-27,"15:36",50,2026-05-27 15:36:00
"E20_80cm","E20","Macucú",2026-05-27,"15:46",80,2026-05-27 15:46:00
"E33_40cm","E33","Acapurana",2026-05-27,"15:57",40,2026-05-27 15:57:00
"E33_80cm","E33","Acapurana",2026-05-27,"16:01",80,2026-05-27 16:01:00
"E65_40cm","E65","Piranheira (struck through)",2026-05-27,"17:05",40,2026-05-27 17:05:00
"N26_45cm","N26","Piranhieira",2026-05-27,"13:57",45,2026-05-27 13:57:00
"N26_80cm","N26","Piranhieira",2026-05-27,"14:02",80,2026-05-27 14:02:00
"N29_45cm","N29","Pato de Vaca",2026-05-27,"14:10",45,2026-05-27 14:10:00
"N29_80cm","N29","Pato de Vaca",2026-05-27,"14:14",80,2026-05-27 14:14:00
"N41_45cm","N41","Socoró",2026-05-27,"14:23",45,2026-05-27 14:23:00
"N41_90cm","N41","Socoró",2026-05-27,"14:29",90,2026-05-27 14:29:00
"N7a_45cm","N7a","Içé",2026-05-27,"13:26",45,2026-05-27 13:26:00
"N7a_80cm","N7a","Içé",2026-05-27,"13:32",80,2026-05-27 13:32:00
"N7b_45cm","N7b","Araça Peua",2026-05-27,"13:41",45,2026-05-27 13:41:00
"N7b_80cm","N7b","Araça Peua",2026-05-27,"13:46",80,2026-05-27 13:46:00
"N88_45cm","N88","Capitarí",2026-05-27,"14:47",45,2026-05-27 14:47:00
"N88_90cm","N88","Capitarí",2026-05-27,"14:56",90,2026-05-27 14:56:00
"NE10_40cm","NE10","Ingá Xixaua",2026-05-25,"18:37",40,2026-05-25 18:37:00
"NE10_80cm","NE10","Ingá Xixaua",2026-05-25,"18:42",80,2026-05-25 18:42:00
"NE12_40cm","NE12","Paricarana",2026-05-25,"18:21",40,2026-05-25 18:21:00
"NE12_80cm","NE12","Paricarana",2026-05-25,"18:26",80,2026-05-25 18:26:00
"NE12_160cm","NE12","Paricarana",2026-05-25,"18:29",160,2026-05-25 18:29:00
"NE14_40cm","NE14","Ingá",2026-05-25,"19:23",40,2026-05-25 19:23:00
"NE14_80cm","NE14","Ingá",2026-05-25,"19:32",80,2026-05-25 19:32:00
"NE14_160cm","NE14","Ingá",2026-05-25,"19:37",160,2026-05-25 19:37:00
"NE31_30cm","NE31","Macucú",2026-05-25,"19:54",30,2026-05-25 19:54:00
"NE31_80cm","NE31","Macucú",2026-05-25,"20:00",80,2026-05-25 20:00:00
"NE59_40cm","NE59","Uruçurana",2026-05-25,"20:15",40,2026-05-25 20:15:00
"NE59_80cm","NE59","Uruçurana",2026-05-25,"20:21",80,2026-05-25 20:21:00
"NE59_160cm","NE59","Uruçurana",2026-05-25,"20:25",160,2026-05-25 20:25:00
"NE6_40cm","NE6","Uxirana de tuxinho",2026-05-25,"18:52",40,2026-05-25 18:52:00
"NE6_80cm","NE6","Uxirana de tuxinho",2026-05-25,"18:58",80,2026-05-25 18:58:00
"NE6_160cm","NE6","Uxirana de tuxinho",2026-05-25,"19:04",160,2026-05-25 19:04:00
"NE8_50cm","NE8","Molongó",2026-05-25,"19:12",50,2026-05-25 19:12:00
"NW16_40cm","NW16","Sucuba",2026-05-26,"14:05",40,2026-05-26 14:05:00
"NW16_80cm","NW16","Sucuba",2026-05-26,"14:14",80,2026-05-26 14:14:00
"NW16_160cm","NW16","Sucuba",2026-05-26,"14:26",160,2026-05-26 14:26:00
"NW22_40cm","NW22","Urucurana",2026-05-26,"14:35",40,2026-05-26 14:35:00
"NW22_80cm","NW22","Urucurana",2026-05-26,"14:39",80,2026-05-26 14:39:00
"NW22_160cm","NW22","Urucurana",2026-05-26,"14:43",160,2026-05-26 14:43:00
"NW26_50cm","NW26","Macucú",2026-05-26,"14:56",50,2026-05-26 14:56:00
"NW33a_40cm","NW33a","Tamanqueira",2026-05-26,"15:05",40,2026-05-26 15:05:00
"NW33a_80cm","NW33a","Tamanqueira",2026-05-26,"15:09",80,2026-05-26 15:09:00
"NW39_40cm","NW39","Seringal",2026-05-26,"15:16",40,2026-05-26 15:16:00
"NW39_80cm","NW39","Seringal",2026-05-26,"15:24",80,2026-05-26 15:24:00
"NW39_160cm","NW39","Seringal",2026-05-26,"15:29",160,2026-05-26 15:29:00
"NW46B_40cm","NW46B","Socoró",2026-05-26,"16:12",40,2026-05-26 16:12:00
"NW46B_120cm","NW46B","Socoró",2026-05-26,"16:20",120,2026-05-26 16:20:00
"NW46a_40cm","NW46a","Mata Mata folha miuda",2026-05-26,"15:42",40,2026-05-26 15:42:00
"NW46a_80cm","NW46a","Mata Mata folha miuda",2026-05-26,"15:52",80,2026-05-26 15:52:00
"NW46a_160cm","NW46a","Mata Mata folha miuda",2026-05-26,"16:00",160,2026-05-26 16:00:00
"NW48_40cm","NW48","Mututi",2026-05-26,"16:29",40,2026-05-26 16:29:00
"NW48_80cm","NW48","Mututi",2026-05-26,"16:36",80,2026-05-26 16:36:00
"NW48_160cm","NW48","Mututi",2026-05-26,"16:41",160,2026-05-26 16:41:00
"NW78_40cm","NW78","Macucú",2026-05-26,"16:50",40,2026-05-26 16:50:00
"NW78_80cm","NW78","Macucú",2026-05-26,"16:54",80,2026-05-26 16:54:00
"NW78_160cm","NW78","Macucú",2026-05-26,"16:57",160,2026-05-26 16:57:00
"NW9_40cm","NW9","Uxirana de uxinho",2026-05-26,"13:44",40,2026-05-26 13:44:00
"NW9_80cm","NW9","Uxirana de uxinho",2026-05-26,"13:52",80,2026-05-26 13:52:00
"NW9_120cm","NW9","Uxirana de uxinho",2026-05-26,"13:56",120,2026-05-26 13:56:00
"S10_40cm","S10","Araçá Peua",2026-05-25,"17:12",40,2026-05-25 17:12:00
"S10_80cm","S10","Araçá Peua",2026-05-25,"17:20",80,2026-05-25 17:20:00
"S10_160cm","S10","Araçá Peua",2026-05-25,"17:29",160,2026-05-25 17:29:00
"S14a_40cm","S14a","Molongó",2026-05-25,"20:42",40,2026-05-25 20:42:00
"S14a_80cm","S14a","Molongó",2026-05-25,"20:50",80,2026-05-25 20:50:00
"S14b_40cm","S14b","Ripeira",2026-05-25,"17:38",40,2026-05-25 17:38:00
"S14b_80cm","S14b","Ripeira",2026-05-25,"17:46",80,2026-05-25 17:46:00
"S14b_160cm","S14b","Ripeira",2026-05-25,"17:55",160,2026-05-25 17:55:00
"S19_40cm","S19","Envira Preta",2026-05-25,"21:01",40,2026-05-25 21:01:00
"S19_80cm","S19","Envira Preta",2026-05-25,"21:06",80,2026-05-25 21:06:00
"S19_160cm","S19","Envira Preta",2026-05-25,"21:09",160,2026-05-25 21:09:00
"S30_40cm","S30","Uxí",2026-05-25,"21:59",40,2026-05-25 21:59:00
"S30_80cm","S30","Uxí",2026-05-25,"22:03",80,2026-05-25 22:03:00
"S53_40cm","S53","Paricarana",2026-05-25,"21:39",40,2026-05-25 21:39:00
"S53_80cm","S53","Paricarana",2026-05-25,"21:43",80,2026-05-25 21:43:00
"S53_160cm","S53","Paricarana",2026-05-25,"21:48",160,2026-05-25 21:48:00
"S63a_40cm","S63a","Munguba",2026-05-25,"21:19",40,2026-05-25 21:19:00
"S63a_80cm","S63a","Munguba",2026-05-25,"21:24",80,2026-05-25 21:24:00
"S63a_160cm","S63a","Munguba",2026-05-25,"21:30",160,2026-05-25 21:30:00
"S7_40cm","S7","Socoró",2026-05-25,"20:27",40,2026-05-25 20:27:00
"S7_80cm","S7","Socoró",2026-05-25,"20:30",80,2026-05-25 20:30:00
"S7_160cm","S7","Socoró",2026-05-25,"20:35",160,2026-05-25 20:35:00
"SE17_40cm","SE17","Envira Basurinha",2026-05-22,"21:59",40,2026-05-22 21:59:00
"SE17_80cm","SE17","Envira Basurinha",2026-05-22,"22:03",80,2026-05-22 22:03:00
"SE17_160cm","SE17","Envira Basurinha",2026-05-22,"22:06",160,2026-05-22 22:06:00
"SE27_40cm","SE27","Biorana Branca",2026-05-22,"21:23",40,2026-05-22 21:23:00
"SE27_80cm","SE27","Biorana Branca",2026-05-22,"21:32",80,2026-05-22 21:32:00
"SE27_160cm","SE27","Biorana Branca",2026-05-22,"21:37",160,2026-05-22 21:37:00
"SE28A_40cm","SE28A","Sucuba",2026-05-22,"20:47",40,2026-05-22 20:47:00
"SE28A_80cm","SE28A","Sucuba",2026-05-22,"20:50",80,2026-05-22 20:50:00
"SE28A_160cm","SE28A","Sucuba",2026-05-22,"20:57",160,2026-05-22 20:57:00
"SE32A_40cm","SE32A","Imolongo",2026-05-22,"20:31",40,2026-05-22 20:31:00
"SE32A_80cm","SE32A","Imolongo",2026-05-22,"20:36",80,2026-05-22 20:36:00
"SE32A_160cm","SE32A","Imolongo",2026-05-22,"20:39",160,2026-05-22 20:39:00
"SE32B_40cm","SE32B","Ripeira",2026-05-22,"20:10",40,2026-05-22 20:10:00
"SE32B_80cm","SE32B","Ripeira",2026-05-22,"20:14",80,2026-05-22 20:14:00
"SE32B_160cm","SE32B","Ripeira",2026-05-22,"20:19",160,2026-05-22 20:19:00
"SE33_40cm","SE33","Macuru",2026-05-22,"19:50",40,2026-05-22 19:50:00
"SE33_80cm","SE33","Macuru",2026-05-22,"19:55",80,2026-05-22 19:55:00
"SE33_160cm","SE33","Macuru",2026-05-22,"20:03",160,2026-05-22 20:03:00
"SE40_40cm","SE40","Ripeira",2026-05-22,"19:33",40,2026-05-22 19:33:00
"SE40_80cm","SE40","Ripeira",2026-05-22,"19:38",80,2026-05-22 19:38:00
"SE40_160cm","SE40","Ripeira",2026-05-22,"19:42",160,2026-05-22 19:42:00
"SE58_40cm","SE58","Caujarana",2026-05-22,"19:01",40,2026-05-22 19:01:00
"SE58_80cm","SE58","Caujarana",2026-05-22,"19:05",80,2026-05-22 19:05:00
"SE58_160cm","SE58","Caujarana",2026-05-22,"19:09",160,2026-05-22 19:09:00
"SE59_40cm","SE59","Macucú",2026-05-26,"19:16",40,2026-05-26 19:16:00
"SE59_80cm","SE59","Macucú",2026-05-26,"19:21",80,2026-05-26 19:21:00
"SE59_160cm","SE59","Macucú",2026-05-26,"19:25",160,2026-05-26 19:25:00
"SE8A_40cm","SE8A","Araca Peua",2026-05-22,"21:44",40,2026-05-22 21:44:00
