"UniqueID","TreeID","species","meas_date","time_str","height_cm","start.time"
"SE8A_80cm","SE8A","Araca Peua",2026-05-22,"21:48",80,2026-05-22 21:48:00
"SE8A_160cm","SE8A","Araca Peua",2026-05-22,"21:52",160,2026-05-22 21:52:00
"SW22_40cm","SW22","Biorana Branca",2026-05-25,"21:02",40,2026-05-25 21:02:00
"SW22_80cm","SW22","Biorana Branca",2026-05-25,"21:09",80,2026-05-25 21:09:00
"SW22_160cm","SW22","Biorana Branca",2026-05-25,"21:15",160,2026-05-25 21:15:00
"SW61_40cm","SW61","Seringal",2026-05-25,"21:52",40,2026-05-25 21:52:00
"SW61_80cm","SW61","Seringal",2026-05-25,"21:59",80,2026-05-25 21:59:00
"SW61_160cm","SW61","Seringal",2026-05-25,"22:06",160,2026-05-25 22:06:00
"W10_40cm","W10","Seringa Barriguda",2026-05-27,"16:20",40,2026-05-27 16:20:00
"W10_70cm","W10","Seringa Barriguda",2026-05-27,"16:28",70,2026-05-27 16:28:00
"W23a_40cm","W23a","Caraipé",2026-05-27,"16:41",40,2026-05-27 16:41:00
"W23a_80cm","W23a","Caraipé",2026-05-27,"16:49",80,2026-05-27 16:49:00
"W5_40cm","W5","Macucú",2026-05-27,"16:11",40,2026-05-27 16:11:00
"W5_80cm","W5","Macucú",2026-05-27,"16:14",80,2026-05-27 16:14:00
