"TreeID","method","VIF_nmol_m_s","base_share","whole_stem_ug_h"
"T-E20","powerlaw_full",96.8228127438102,0.90205609628857,3512.88900643846
"T-E20","exp_full",13.9448853043275,0.220658138218864,505.943102595404
"T-E20","data_plateau",15.4585569663206,0.33525945324714,560.861570568882
"T-E20","data_meas_only",10.2759296098022,0,372.827427072626
"T-E20","powerlaw_capped",14.0460057055179,0.368975170961409,509.61191509529
"T-N62","powerlaw_full",5564.55402984548,0.997639203188488,201891.06392622
"T-N62","exp_full",12.9356113461997,0.39749427462654,469.325003084365
"T-N62","data_plateau",72.3755865105505,0.750295243398109,2625.90390614016
"T-N62","data_meas_only",18.0725282135361,0,655.700695742683
"T-N62","powerlaw_capped",67.4398397081549,0.805207404584741,2446.82699038708
"T-NE14","powerlaw_full",48.8694101610525,0.793051227546777,1773.06162505456
"T-NE14","exp_full",14.3576672364724,0.168620770003885,520.919501962411
"T-NE14","data_plateau",25.1990879636143,0.496502974824242,914.263865829651
"T-NE14","data_meas_only",12.687665826822,0,460.329136670917
"T-NE14","powerlaw_capped",22.0887524557755,0.542144153971968,801.415838570492
"T-NW46a","powerlaw_full",353.022888441689,0.98313597028097,12808.2441387992
"T-NW46a","exp_full",7.33289824366663,0.281931876809632,266.049465983472
"T-NW46a","data_plateau",22.3739728147975,0.634510724744228,811.764096746711
"T-NW46a","data_meas_only",8.1774471086727,0,296.691071398613
"T-NW46a","powerlaw_capped",20.1499141883031,0.704545219074223,731.071635153395
"T-S14b","powerlaw_full",318.8949495677,0.979587905355763,11570.0270504354
"T-S14b","exp_full",6.86482996370812,0.248849363071186,249.067188064326
"T-S14b","data_plateau",59.5726078266722,0.779573955577527,2161.39103160443
"T-S14b","data_meas_only",13.1313542991646,0,476.426875546773
"T-S14b","powerlaw_capped",43.5186552083293,0.850424746330415,1578.92753912067
"T-SE58","powerlaw_full",496.11333623488,0.943494760533203,17999.7981407376
"T-SE58","exp_full",58.9164823846061,0.307513423402139,2137.58573420642
"T-SE58","data_plateau",58.589598800424,0.290745582759525,2125.72586650874
"T-SE58","data_meas_only",41.554931753548,0,1507.68046066366
"T-SE58","powerlaw_capped",42.3199479115237,0.402520983307674,1535.43649020818
"T-SW27","powerlaw_full",0.591794962610078,0.421851230014189,21.4712830510236
"T-SW27","exp_full",0.479725002393001,0.0705057671081008,17.4052027540149
"T-SW27","data_plateau",1.24067261808666,0.649649041163492,45.0136189721929
"T-SW27","data_meas_only",0.434670841348863,0,15.770564567609
"T-SW27","powerlaw_capped",0.591794962610078,0.421851230014189,21.4712830510236
"T-W10","powerlaw_full",13338.3093570722,0.994875655955089,483935.541398838
"T-W10","exp_full",87.7345982288309,0.392870460825323,3183.15381332545
"T-W10","data_plateau",150.970831339796,0.447673944941464,5477.46712450623
"T-W10","data_meas_only",83.3851237028169,0,3025.34780859135
"T-W10","powerlaw_capped",126.776487335649,0.533109167617503,4599.6570024739
