"UniqueID","start.time","Vtot","Area","Tcham","Pcham"
"T-E20_900cm",2026-05-23 21:03:00,1.26350382616539,600,28,101.3
"T-E20_500cm",2026-05-23 21:34:00,1.26350382616539,600,28,101.3
"T-E20_160cm",2026-05-23 21:52:00,1.26350382616539,600,28,101.3
"T-E20_80cm",2026-05-23 21:58:00,1.26350382616539,600,28,101.3
"T-E20_50cm",2026-05-23 22:05:00,1.26350382616539,600,28,101.3
"T-N62_900cm",2026-05-25 12:18:00,1.26350382616539,600,28,101.3
"T-N62_500cm",2026-05-25 12:37:00,1.26350382616539,600,28,101.3
"T-N62_160cm",2026-05-25 15:56:00,1.26350382616539,600,28,101.3
"T-N62_80cm",2026-05-25 16:05:00,1.26350382616539,600,28,101.3
"T-N62_40cm",2026-05-25 16:13:00,1.26350382616539,600,28,101.3
"T-NE14_80cm",2026-05-23 17:59:00,1.26350382616539,600,28,101.3
"T-NE14_900cm",2026-05-23 18:55:00,1.26350382616539,600,28,101.3
"T-NE14_500cm",2026-05-23 19:58:00,1.26350382616539,600,28,101.3
"T-NE14_160cm",2026-05-23 20:29:00,1.26350382616539,600,28,101.3
"T-NE14_50cm",2026-05-23 20:40:00,1.26350382616539,600,28,101.3
"T-NW46a_1000cm",2026-05-24 18:47:00,1.26350382616539,600,28,101.3
"T-NW46a_500cm",2026-05-24 19:11:00,1.26350382616539,600,28,101.3
"T-NW46a_160cm",2026-05-24 19:29:00,1.26350382616539,600,28,101.3
"T-NW46a_80cm",2026-05-24 19:37:00,1.26350382616539,600,28,101.3
"T-NW46a_40cm",2026-05-24 19:45:00,1.26350382616539,600,28,101.3
"T-S14b_1000cm",2026-05-24 15:39:00,1.26350382616539,600,28,101.3
"T-S14b_500cm",2026-05-24 16:02:00,1.26350382616539,600,28,101.3
"T-S14b_160cm",2026-05-24 16:21:00,1.26350382616539,600,28,101.3
"T-S14b_80cm",2026-05-24 16:30:00,1.26350382616539,600,28,101.3
"T-S14b_40cm",2026-05-24 16:36:00,1.26350382616539,600,28,101.3
"T-SE58_800cm",2026-05-24 20:27:00,1.26350382616539,600,28,101.3
"T-SE58_500cm",2026-05-24 20:51:00,1.26350382616539,600,28,101.3
"T-SE58_160cm",2026-05-24 21:11:00,1.26350382616539,600,28,101.3
"T-SE58_80cm",2026-05-24 21:19:00,1.26350382616539,600,28,101.3
"T-SE58_40cm",2026-05-24 21:27:00,1.26350382616539,600,28,101.3
"T-SW27_850cm",2026-05-25 11:20:00,1.26350382616539,600,28,101.3
"T-SW27_500cm",2026-05-25 11:44:00,1.26350382616539,600,28,101.3
"T-SW27_160cm",2026-05-25 15:22:00,1.26350382616539,600,28,101.3
"T-SW27_80cm",2026-05-25 15:31:00,1.26350382616539,600,28,101.3
"T-SW27_40cm",2026-05-25 15:38:00,1.26350382616539,600,28,101.3
"T-W10_850cm",2026-05-24 13:29:00,1.26350382616539,600,28,101.3
"T-W10_400cm",2026-05-24 13:57:00,1.26350382616539,600,28,101.3
"T-W10_160cm",2026-05-24 14:19:00,1.26350382616539,600,28,101.3
"T-W10_80cm",2026-05-24 14:26:00,1.26350382616539,600,28,101.3
"T-W10_40cm",2026-05-24 14:34:00,1.26350382616539,600,28,101.3
