"method","n_trees","mean_VIF","median_VIF","mean_base_share","mean_stem_ug_h"
"powerlaw_full",8,2527.14732237868,335.958919004695,0.876961506145381,91689.0120711967
"exp_full",8,25.3208372137755,13.4402483252636,0.261055509258209,918.681126496982
"data_plateau",8,50.7226143550327,41.8943433820191,0.548026365081966,1840.29888510962
"data_meas_only",8,23.4649564194639,12.9095100629933,0,851.346755031778
"powerlaw_capped",8,42.1164246844829,32.2043501836496,0.578597259482765,1528.0523367575
