# IMG_3043 | Page 3 of 3 | Date 5/26/26 | Location N-S | Team Jon + Fabrizio | Weather (blank),,,,,,,,,,,,,,,,
TreeID,species,H1,H2,H3,Phenology,Moisture,D30,D80,D160,flux30Start,flux80Start,flux160Start,ppm30,ppm80,ppm160,Note
S14b,Ripeira,40,80,160,,,32,31,31,17:38,17:46,17:55,,,,"isotopes @ 40+80cm, T=5min"
S15,Molongó,,,,,,,,,,,,,,,no data (blank)
S19,Envira Preta,40,80,160,,,,,,21:01,21:06,21:09,,,,
S27,Seringa barriguda,,,,,,,,,,,,,,,no data (blank)
S28,Catoré bravo,,,,,,,,,,,,,,,no data (blank)
S30,Uxí,40,80,,,,14,13.5,,21:59,22:03,,,,,
S33a,Biorana Branca,,,,,,,,,,,,,,,no data (blank)
S33b,Socoró,,,,,,,,,,,,,,,no data (blank)
S45,Cumaru,,,,,,,,,,,,,,,no data (blank)
S63b,Munguba,,,,,,,,,,,,,,,no data (blank)
