Transect,TreeID,actualDistance,offTransect,Description,species,status_2026_03,Living,Rot,Insects,date_2026_05,waterRef_2026_05,topoPosition_2026_05,waterDepth_2026_05,phenology_2026_05,moisture_2026_05,diameters_2026_05,fluxStartNotes_2026_05,heights_2026_05
NW,T-NW26,29,,half dead + ants,Macucú,basic,,,,,,,,,,,,
NW,T-NW29,27.2,4.0NE,,Uixí,,,,,,,,,,,,,
NW,T-NW30,30,6.5SW,many trunks,Lourinho,,,,,,,,,,,,,
NW,T-NW33a,36.9,0.8SW,,Tamanquera,special,,,,,,,,,,,,
NW,T-NW33b,41,2.7SW,,Urucurana,,,,,,,,,,,,,
NW,T-NW39,43.8,1SW,,Seringaí,basic,,,,,,,,,,,,
NW,T-NW46b,49.7,2.9NE,,Socoró,basic,,,,,,,,,,,,
NW,T-NW48,50.8,6.2NE,split trunk,Mututí,basic,,,,,,,,,,,,
NW,T-NW6a,4.3,0.3SW,rot/dead,Lourinho,basic,0,,,,,,,,,,,
NW,T-NW6b,6.4,3.0SW,,Biorana,basic,,,,,,,,,,,,
NW,T-NW78,76.7,1.9NE,,Macucú,basic,,,,,,,,,,,,
NW,T-NW80,81.2,3.7NE,ants nest,Aliana,basic,,,,,,,,,,,,
NW,T-NW84,84.9,2.8SW,,Mututí,,,,,,,,,,,,,
NW,T-NW9,9.5,2.4NE,,Uixirana de uixinho,basic,,,,,,,,,,,,
NW,T-NW98,98,6.6NE,,Paricarana,,,,,,,,,,,,,
S,T-S10,10,2.4W,,Araçá Peua,special,,,,,,,,,,,,
S,T-S14a,14.2,2.1E,,Molongó,special,,,,,,,,,,,,
S,T-S15,18,2.3W,,Molongó,basic,,,,,,,,,,,,
S,T-S19,21.5,2.8E,,Envira Preta,basic,,,,,,,,,,,,
S,T-S20,18.4,5.2E,,Macucú,,,,,,,,,,,,,
S,T-S27,28,2.4W,,Seringa barriguda,basic,,,,,,,,,,,,
S,T-S28,29,3.2E,"branched trunk, picked the largest",Catoré bravo,basic,,,,,,,,,,,,
S,T-S30,35.4,1.0W,,Uixí,basic,,,,,,,,,,,,
S,T-S33a,35.6,2.2W,,Biorana Branca,basic,,,,,,,,,,,,
S,T-S33b,36.2,2.9E,,Socoró,basic,,,,,,,,,,,,
S,T-S35,39.5,5.8W,"leaning, picked largest branch",Catoré Bravo,,,,,,,,,,,,,
S,T-S45,43.3,1.0W,yellow,Cumarú,basic,,,,,,,,,,,,
S,T-S47,48.8,3.7E,~30cm dbh,Seringa BArriguda,,,,,,,,,,,,,
S,T-S53,55.5,1.4E,~40cm dbh,Paricarana,special,,,,,,,,,,,,
S,T-S58,58.2,MISSING,dead,Limorana,,,,,,,,,,,,,
S,T-S63a,62.2,2.6E,,Munguba,special,,,,,,,,,,,,
S,T-S63b,58,4.5W,,Munguba,basic,,,,,,,,,,,,
S,T-S7,6.7,1W,,Socoró,basic,,,,,,,,,,,,
S,T-S85,85.8,1.0W,"leaning, many vines",Genipapinho,,,,,,,,,,,,,
SE,T-SE17,20,1.5SW,,Envira Basurinha,basic,1,,,,,,,,,,,
SE,T-SE27,24.1,1.5SW,,Biorana Branca,basic,1,,,,,,,,,,,
SE,T-SE28a,30.8,2.0NE,,Sucuba,basic,1,,,,,,,,,,,
SE,T-SE28b,29.5,3.9NE,,Louro Preto,,1,,,,,,,,,,,
SE,T-SE29,31,5.0SW,,Mata mata folha miuda,basic,1,,,,,,,,,,,
SE,T-SE32a,35,2.6NE,,Molongó,special,1,,,,,,,,,,,
SE,T-SE32b,37.4,1.5SW,,Ripeira,basic,1,,,,,,,,,,,
SE,T-SE33,35.5,6.9SW,,Macucú,basic,1,,,,,,,,,,,
SE,T-SE36,40,1.8NE,,Araçá Peua,,1,,,,,,,,,,,
SE,T-SE38,39,9.3NE,,Mututí,,1,,,,,,,,,,,
SE,T-SE4,2.9,0.5SW,,Molongó,,1,,,,,,,,,,,
SE,T-SE40,45,3.1NE,,Ripeira,basic,1,,,,,,,,,,,
SE,T-SE46,49.7,2.8SW,,Mututí,special,1,,,,,,,,,,,
SE,T-SE59,59,1.0SW,,Macucú,basic,1,,,,,,,,,,,
SE,T-SE78,72.7,0.1SW,,BAcurí Liso,,1,,,,,,,,,,,
SE,T-SE8a,8.9,0.7NE,,Araçá Peua,special,1,,,,,,,,,,,
SE,T-SE8b,7,1.0NE,dead,Piranhieira,basic,0,,,,,,,,,,,
SE,T-SE96,91.8,0.8NE,,Socoró,,1,,,,,,,,,,,
SE,T-SE98,102,0,,Seringa Barriguda,,1,,,,,,,,,,,
SW,T-SW11,9,3.9NW,,Seringaí,basic,,,,,,,,,,,,
SW,T-SW14a,16,3.3SE,,Macucú,,,,,,,,,,,,,
SW,T-SW14b,14.5,6.7NW,,Araça Peua,basic,,,,,,,,,,,,
SW,T-SW18,20.3,6.1SE,ants,Ripeira,basic,,,,,,,,,,,,
SW,T-SW22,25.8,0,,Biorana Branca,special,,,,,,,,,,,,
SW,T-SW25,29.4,0.1SE,,Socoró,,,,,,,,,,,,,
SW,T-SW26a,30.4,0.7NW,,Socoró,,,,,,,,,,,,,
SW,T-SW26b,26.5,4.1SE,vine scars,Socoró,basic,,,,,,,,,,,,
SW,T-SW28,33.7,8.8SE,"leaning, insects",Camu Camu,special,,,,,,,,,,,,
SW,T-SW36,36,7.9SE,,Piranhieira,basic,,,,,,,,,,,,
SW,T-SW37,38.6,4.2SE,,Mututí,basic,,,,,,,,,,,,
SW,T-SW39,45,6.3SE,,Catoré Brava,basic,,,,,,,,,,,,
SW,T-SW48a,48,3.0SE,vines,Genipapinho,,,,,,,,,,,,,
SW,T-SW48b,55,2.7SE,,Socoró,,,,,,,,,,,,,
SW,T-SW51,57.5,3.2NW,termites,Violeta,special,,,,,,,,,,,,
SW,T-SW61,61.2,1.3NW,,Seringaí,basic,,,,,,,,,,,,
SW,T-SW65,67.5,2.2SE,,Cumarú,basic,,,,,,,,,,,,
SW,T-SW77,82.5,7SE,,Socoró,basic,,,,,,,,,,,,
SW,T-SW82,89.8,4.3NW,,Caramurí,basic,,,,,,,,,,,,
W,T-W16,19.6,1S,,Seringa Barriguda,basic,,,,,,,,,,,,
W,T-W23a,25.2,1.6S,,Caraipé,special,,,,,,,,,,,,
W,T-W23b,18.4,3.5N,,Pato de Vaca,basic,,,,,,,,,,,,
W,T-W23c,26.7,9.0S,,Macucú,,,,,,,,,,,,,
W,T-W27,31.3,2.2S,,Ripeira,basic,,,,,,,,,,,,
W,T-W35,35,4.3S,,Mata mata folha miuda,basic,,,,,,,,,,,,
W,T-W45a,46.7,1.4N,,Macucú,,,,,,,,,,,,,
W,T-W45b,48.5,0.5S,termites,Mata mata folha miuda,,,,,,,,,,,,,
W,T-W5,7.5,2.5N,,Macucu,basic,,,,,,,,,,,,
W,T-W51a,50,4.5N,,Socoró,,,,,,,,,,,,,
W,T-W51b,59.3,3.2S,,Mata Mata folha miuda,basic,,,,,,,,,,,,
W,T-W52,59.3,2.1S,,Socoró,special,,,,,,,,,,,,
W,T-W60,61.6,7.4S,,Seringaí,,,,,,,,,,,,,
W,T-W65,71,6.6S,,Ingá,,,,,,,,,,,,,
W,T-W71,73.5,3.5N,,Louro Preto,basic,,,,,,,,,,,,
W,T-W76,76.9,0.8N,,Macucú,,,,,,,,,,,,,
W,T-W79,83.6,3.7S,,Parajuba,special,,,,,,,,,,,,
W,T-W80,84.6,2.3N,,Mata Mata folha miuda,special,,,,,,,,,,,,
W,T-W85,87,6.0N,,Seringaí,basic,,,,,,,,,,,,
