Transect,TreeID,actualDistance,offTransect,Description,species,status_2026_03,Living,Rot,Insects,date_2026_05,waterRef_2026_05,topoPosition_2026_05,waterDepth_2026_05,phenology_2026_05,moisture_2026_05,diameters_2026_05,fluxStartNotes_2026_05,heights_2026_05
E,T-E20,23.3,0.8N,rotten,Macucú,special,,,,2026_05_23,,,,,,,22:05;21:58;21:52;21:34;21:03,50;80;160;500;900
NE,T-NE14,21,1.5NW,,Ingá,basic,,,,2026_05_23,,,,,,,20:40;17:59;20:29;19:58;18:55,50;80;160;500;900
NW,T-NW46a,47,5.9SW,,Mata Mata folha miuda,basic,,,,2026_05_24,,,,,,,19:45;19:37;19:29;19:11;18:47,40;80;160;500;1000
S,T-S14b,16.5,2.8E,,Ripeira,basic,,,,2026_05_24,,,,,,,16:36;16:30;16:21;16:02;15:39,40;80;160;500;1000
SE,T-SE58,56.7,1.0NE,,Caijurana,basic,1,,,2026_05_24,,,,,,,21:27;21:19;21:11;20:51;20:27,40;80;160;500;800
W,T-W10,9.5,1S,,Seringa Barriguda,basic,,,,2026_05_24,,,,,,,14:34;14:26;14:19;13:57;13:29,40;80;160;400;850
N,T-N62,62.6,1.5E,,Piranhieira,basic,,,,2026_05_25,,,,,,,16:13;16:05;15:56;12:37;12:18,40;80;160;500;900
SW,T-SW27,29.8,4.7NW,,Biorana,special,,,,2026_05_25,,,,,,,15:38;15:31;15:22;11:44;11:20,40;80;160;500;850
E,T-E1,5,0.2S,,Mata Mata Folha Miuda,special,,,,,,,,,,,,
E,T-E13,9.6,0.4S,,Mata Mata Folha Miuda,basic,,,,,,,,,,,,
E,T-E17a,18.8,1S,,Araçá Peua,basic,,,,,,,,,,,,
E,T-E17b,22.6,,,Envira Preta,basic,,,,,,,,,,,,
E,T-E21,25.7,2.6N,,Urucurana,,,,,,,,,,,,,
E,T-E24,29.3,1.5S,,Araçá Peua,basic,,,,,,,,,,,,
E,T-E31,34,5.6S,,Seringaí,basic,,,,,,,,,,,,
E,T-E33,41.3,2.65N,slightly leaning,Acapurana,basic,,,,,,,,,,,,
E,T-E39a,39.4,4.6S,ants,Paricarana,basic,,,,,,,,,,,,
E,T-E39b,42.5,1.5S,,Piranhieira,basic,,,,,,,,,,,,
E,T-E42,47,,,Mata mata folha miuda,basic,,,,,,,,,,,,
E,T-E42,47,,,Mata mata folha miuda,special,,,,,,,,,,,,
E,T-E58,58,2.3N,termites,Piranhieira,basic,,,,,,,,,,,,
E,T-E76,74.6,1S,termites,Turimã,,,,,,,,,,,,,
E,T-E78,78,3.7S,,Bacurí LIso,,,,,,,,,,,,,
E,T-E82,83.6,1.7N,,Mututí,,,,,,,,,,,,,
E,T-E85,88.6,7N,wishbone- split trunk?,Violeta,basic,,,,,,,,,,,,
E,T-E89,94.6,1S,termpites on vine,Uixirana de uixinho,,,,,,,,,,,,,
E,T-E97,91.3,4.1S,,Cumaru,,,,,,,,,,,,,
E,T-E99,98.5,6S,,Caximbu,special,,,,,,,,,,,,
E,T-E99,98.5,6S,,Caximbu,special,,,,,,,,,,,,
N,T-N17a,19.6,2E,,Ingá de Jauá,basic,,,,,,,,,,,,
N,T-N17b,19.4,8.0W,dead,Seringaí,basic,,,,,,,,,,,,
N,T-N19,23.7,5.4W,,Macucú,basic,,,,,,,,,,,,
N,T-N26,25.6,6.7W,termites,Piranhieira,basic,,,,,,,,,,,,
N,T-N29,37.9,0.8W,,Pato de Vaca,basic,,,,,,,,,,,,
N,T-N40,43.7,3.4E,,Embaumba Rosa,basic,,,,,,,,,,,,
N,T-N41,44.6,1E,,Socoró,special,,,,,,,,,,,,
N,T-N42a,40.7,6.4W,leaning,UIxirana de uixinho,basic,,,,,,,,,,,,
N,T-N42b,51.6,2.9W,split trunk,Envira Preta,special,,,,,,,,,,,,
N,T-N58,59.5,2.0W,,Genipapinho,basic,,,,,,,,,,,,
N,T-N63,72.5,2.8E,,Murití,,,,,,,,,,,,,
N,T-N68,73.5,1.5E,spikes,Tamanqueira,basic,,,,,,,,,,,,
N,T-N70,72,6.2W,termites,Piranhieira,,,,,,,,,,,,,
N,T-N74,78,2.9W,,Mucucú,,,,,,,,,,,,,
N,T-N75,78,8.4W,vines,Seringa Barriguda,special,,,,,,,,,,,,
N,T-N7a,9,1.5E,buttress,Içé,basic,,,,,,,,,,,,
N,T-N7b,12.9,2.9E,,Araça Peua,basic,,,,,,,,,,,,
N,T-N84,89,3E,,Cumaru,basic,,,,,,,,,,,,
N,T-N88,95,2E,termites,Capitarí,special,,,,,,,,,,,,
NE,T-NE10,17.7,2SE,,IngáXixaua,basic,,,,,,,,,,,,
NE,T-NE12,18.3,3SE,,Paricarana,basic,,,,,,,,,,,,
NE,T-NE14,21,1.5NW,,Ingá,special,,,,,,,,,,,,
NE,T-NE19,22.5,2.5SE,,Macucú,,,,,,,,,,,,,
NE,T-NE22a,21.7,4.3NW,,Paricarana,,,,,,,,,,,,,
NE,T-NE22b,22.3,4NW,,Urucarana,basic,,,,,,,,,,,,
NE,T-NE23,23.8,4.8NW,,Piranhieira,basic,,,,,,,,,,,,
NE,T-NE25,20.4,6.5SE,,Seringaí,basic,,,,,,,,,,,,
NE,T-NE25,20.4,6.5SE,,Seringaí,special,,,,,,,,,,,,
NE,T-NE26,26.1,6.4SE,Dead,Mucutí,,,,,,,,,,,,,
NE,T-NE3,5.6,4.9SE,"almost dead, termites",Seringaí,special,,,,,,,,,,,,
NE,T-NE31,32.1,,hygrometer on tree,Macucú,basic,,,,,,,,,,,,
NE,T-NE32a,39.6,0.7NW,dead on one side,Socoró,,,,,,,,,,,,,
NE,T-NE32b,38.5,3.7SE,split trunk leaning,Envira Preta,basic,,,,,,,,,,,,
NE,T-NE37,42.5,7.7SE,,Macucú,,,,,,,,,,,,,
NE,T-NE44,46.5,6.3SE,,Araçá Peua,,,,,,,,,,,,,
NE,T-NE46,47.3,2.9SE,small vines,Araçá Peua,basic,,,,,,,,,,,,
NE,T-NE53,55.2,2.2NW,,Catoré Bravo,,,,,,,,,,,,,
NE,T-NE59,65.6,2SE,,Urucurana,speical,,,,,,,,,,,,
NE,T-NE6,14.2,0.6NW,,Uixirana de uixinho,basic,,,,,,,,,,,,
NE,T-NE8,10.2,1SE,,Molongó,basic,,,,,,,,,,,,
NW,T-NW16,14.2,3.9SW,,Sucuba,special,,,,,,,,,,,,
NW,T-NW19,21.4,1.4SW,,Biorana,,,,,,,,,,,,,
NW,T-NW22,22,2.6SW,,Urucurana,basic,,,,,,,,,,,,
NW,T-NW23,23,1.7SW,,Mata Mata folha miuda,basic,,,,,,,,,,,,
