"UniqueID","TreeID","species","meas_date","time_str","height_label","height_cm","start.time","CO2_best.flux","CO2_model","CO2_quality.check","CO2_LM.flux","CO2_LM.r2","CO2_LM.p.val","CO2_LM.RMSE","CO2_HM.flux","CO2_HM.r2","CO2_HM.RMSE","CO2_LM.diagnose","CO2_HM.diagnose","CO2_nb.obs","CO2_flux.term","CO2_MDF","CO2_g.fact","CH4_best.flux","CH4_model","CH4_quality.check","CH4_LM.flux","CH4_LM.r2","CH4_LM.p.val","CH4_LM.RMSE","CH4_HM.flux","CH4_HM.r2","CH4_HM.RMSE","CH4_LM.diagnose","CH4_HM.diagnose","CH4_nb.obs","CH4_flux.term","CH4_MDF","CH4_g.fact","Area_cm2","Vtot_L","Tcham_C","Pcham_kPa"
"BCI1_2m","BCI1","Simarouba amara",2026-05-12,12:40:00,"2m",200,2026-05-12 12:40:00,3.72727261749629,"HM","",3.65590850965964,0.999969203721148,0,1.96499047856835,3.72727261749629,0.999992530949113,0.967761479458014,"","",679,2.02231515040309,0.010424304898985,1.01952021163771,-0.00780662707428527,"HM","",-0.00574768502410919,0.937151777421282,0,0.144152556375921,-0.00780662707428527,0.943081059888467,0.137184249223256,"","",679,2.02231515040309,0.00178702369696885,1.35822109971922,213.35,1.1096,28,101.3
"BCI1_Base","BCI1","Simarouba amara",2026-05-12,13:13:00,"Base",0,2026-05-12 13:13:00,3.50640410466385,"HM","",3.44325512629606,0.999963371703628,0,2.05505681149564,3.50640410466385,0.999984325954611,1.34436186195483,"","",692,2.02424097746061,0.0102382130362892,1.01833990687635,-0.0202648512648119,"HM","AICc",-0.0199425327936027,0.995426766605254,0,0.133298181416959,-0.0202648512648119,0.995419128554376,0.133411061035795,"","",692,2.02424097746061,0.00175512223479243,1.01616236385544,213.35,1.1096,28,101.3
"BCI2_2m","BCI2","Heisteria concinna",2026-05-12,14:21:00,"2m",200,2026-05-12 14:21:00,1.09432796108811,"HM","",1.0633663822717,0.999915302837415,0,0.995741784900104,1.09432796108811,0.999970786264049,0.584797962941339,"","",717,2.03288874629554,0.00992344576294895,1.02911656728349,0.00908050842010808,"HM","",0.00595930148766029,0.935242710405512,0,0.159539245208805,0.00908050842010808,0.946783072650683,0.144626574249227,"","",717,2.03288874629554,0.00170116213079125,1.52375382230799,213.35,1.1096,28,101.3
"BCI2_Base","BCI2","Heisteria concinna",2026-05-12,14:50:00,"Base",0,2026-05-12 14:50:00,2.03271184453788,"HM","",1.97274197527391,0.99986703211907,0,1.5345873224944,2.03271184453788,0.999927915787787,1.12989558215436,"","",476,2.03487907178784,0.014962346116087,1.03039924633613,-0.00388850797133835,"HM","AICc",-0.00388467883952369,0.750107182459478,4.74822426627851e-145,0.151194931786142,-0.00388850797133835,0.749934018163569,0.151247942378154,"","",476,2.03487907178784,0.00256497361990063,1.00098570099945,213.35,1.1096,28,101.3
"BCI3_2m","BCI3","Heisteria concinna",2026-05-12,15:22:00,"2m",200,2026-05-12 15:22:00,1.47515879544957,"HM","",1.38141659387769,0.999670402810459,0,2.01041073165293,1.47515879544957,0.999962434140874,0.678718530793714,"","",565,2.03317551308686,0.0125948925589452,1.067859472651,0.00290417252339873,"LM","HM.flux is NA",0.00290417252339873,0.745424376717383,1.28936917618598e-169,0.135986092650156,NA,NA,NA,"","HM.flux is NA",565,2.03317551308686,0.00215912443867632,NA,213.35,1.1096,28,101.3
"BCI3_Base","BCI3","Heisteria concinna",2026-05-12,15:36:00,"Base",0,2026-05-12 15:36:00,2.04385273927359,"HM","AICc",2.01135513616492,0.999971393475889,0,0.715740876123899,2.04385273927359,0.999968585309985,0.751102753685773,"","",468,2.02843193433268,0.0151698969447957,1.0161570686968,-0.00716518891826117,"HM","AICc",-0.00714367392787735,0.908466351871392,2.62799694377655e-244,0.15084782694849,-0.00716518891826117,0.908254501265983,0.151023828898889,"","",468,2.02843193433268,0.00260055376196498,1.00301175425993,213.35,1.1096,28,101.3
"BCI4_2m","BCI4","Heisteria concinna",2026-05-12,16:05:00,"2m",200,2026-05-12 16:05:00,2.30813087028484,"HM","",2.11618099882856,0.999440928213431,0,4.90683119411503,2.30813087028484,0.999954461572187,1.4004136841108,"Noise (LM.MAE)","",691,2.03319379241294,0.0102983766620048,1.09070579102758,0.000259345106885088,"LM","HM.flux is NA",0.000259345106885088,0.0336054246327897,7.30233619324204e-07,0.13359104217814,NA,NA,NA,"MDF (LM)","HM.flux is NA",691,2.03319379241294,0.00176543599920082,NA,213.35,1.1096,28,101.3
"BCI4_Base","BCI4","Heisteria concinna",2026-05-12,16:20:00,"Base",0,2026-05-12 16:20:00,2.43826609336145,"HM","",2.29111826635611,0.999721504825462,0,3.49347048063622,2.43826609336145,0.999984416723257,0.82637587925628,"","",643,2.03021008749772,0.0110509102740934,1.06422533012203,-0.00447432181650645,"HM","AICc",-0.00446088978045205,0.881978848384317,7.44098470758043e-300,0.149062163387287,-0.00447432181650645,0.881755863987638,0.14920417890607,"","",643,2.03021008749772,0.00189444176127315,1.00301106656193,213.35,1.1096,28,101.3
"BCI5_2m","BCI5","Simarouba amara",2026-05-12,16:38:00,"2m",200,2026-05-12 16:38:00,3.68492449969642,"HM","",3.46531887767047,0.999630427876795,0,5.94165638110492,3.68492449969642,0.99988314340964,3.34106199817615,"Noise (LM.MAE)","",628,2.0313617923555,0.0113212838745927,1.06337241384654,-0.00864360288115062,"HM","AICc",-0.008628523905715,0.89832879153379,3.65291882614281e-313,0.258829178238704,-0.00864360288115062,0.898066953213809,0.259165464102075,"","",628,2.0313617923555,0.00194079152135876,1.00174757300326,213.35,1.1096,28,101.3
"BCI5_Base","BCI5","Simarouba amara",2026-05-12,17:00:00,"Base",0,2026-05-12 17:00:00,5.39313178828218,"LM","MAE | AICc",5.39313178828218,0.999879541906322,0,5.19101431405877,5.47233792416312,0.999819921200848,6.35717778217191,"Noise (LM.MAE)","Noise (HM.MAE)",617,2.02943005665891,0.0115121640167037,1.01468648254675,-0.0214691877920672,"HM","AICc",-0.0212679704180884,0.994266923332171,0,0.141622898350526,-0.0214691877920672,0.994148449811351,0.143093062493893,"","",617,2.02943005665891,0.00197351383143492,1.00946105199618,213.35,1.1096,28,101.3
